label,DG (kcal/mol),uncertainty (kcal/mol),source,computational
lig2,-9.06,0.00,,False
lig3,-2.93,0.00,,False
lig4,-2.90,0.00,,False
lig7,-2.73,0.00,,False
lig8,-4.04,0.00,,False
lig14,-11.22,0.00,,False
lig16,-8.42,0.00,,False
lig39,-8.43,0.00,,False
lig40,-8.08,0.00,,False
lig14,-4.37,0.37,MLE,True
lig14,-4.37,0.37,MLE,True
lig3,3.84,0.37,MLE,True
lig3,3.84,0.37,MLE,True
lig4,4.41,0.50,MLE,True
lig4,4.41,0.50,MLE,True
lig16,-1.99,0.37,MLE,True
lig16,-1.99,0.37,MLE,True
lig2,0.37,0.24,MLE,True
lig2,0.37,0.24,MLE,True
lig39,-4.07,0.45,MLE,True
lig39,-4.07,0.45,MLE,True
lig40,-3.23,0.43,MLE,True
lig40,-3.23,0.43,MLE,True
lig7,3.70,0.35,MLE,True
lig7,3.70,0.35,MLE,True
lig8,1.31,0.42,MLE,True
lig8,1.31,0.42,MLE,True
