# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig2,-9.06,0
lig3,-2.93,0
lig4,-2.9,0
lig7,-2.73,0
lig8,-4.04,0
lig14,-11.22,0
lig16,-8.42,0
lig39,-8.43,0
lig40,-8.08,0

# Calculated block from SepTop free energy calculations
# Ligand1,Ligand2, calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
lig14,lig3,8.41,0.21,0
lig16,lig14,-2.81,0.24,0
lig2,lig14,-0.33,0.27,0
lig2,lig16,2.55,0.33,0
lig2,lig3,7.69,0.19,0
lig2,lig39,-0.74,0.3,0
lig2,lig4,5.62,0.36,0
lig2,lig40,-1.3,0.29,0
lig2,lig7,7.89,0.28,0
lig2,lig8,4.3,0.24,0
lig39,lig40,-0.7,0.12,0
lig3,lig4,-2.4,0.15,0
lig40,lig8,5.55,0.13,0
lig4,lig39,-3.71,0.42,0
lig7,lig16,-5.76,0.4,0
lig8,lig7,2.82,0.17,0


