label,DG (kcal/mol),uncertainty (kcal/mol),source,computational
lig2,-9.06,0.00,exp,False
lig3,-2.93,0.00,exp,False
lig4,-2.90,0.00,exp,False
lig7,-2.73,0.00,exp,False
lig8,-4.04,0.00,exp,False
lig14,-11.22,0.00,exp,False
lig16,-8.42,0.00,exp,False
lig39,-8.43,0.00,exp,False
lig40,-8.08,0.00,exp,False
lig14,-3.42,0.14,MLE,True
lig3,4.81,0.12,MLE,True
lig4,2.29,0.15,MLE,True
lig16,-0.59,0.17,MLE,True
lig2,-2.83,0.09,MLE,True
lig39,-3.04,0.13,MLE,True
lig40,-3.78,0.11,MLE,True
lig7,4.78,0.14,MLE,True
lig8,1.78,0.11,MLE,True
