# Experimental block
# Ligand, expt_DDG, expt_dDDG
Z9604, -4.91, 0.0
Z8539_2006, -6.55, 0.0
Z8539_2005, -6.29, 0.0
Z8539_2004, -7.02, 0.0
Z8539_2001, -7.19, 0.0
Z8539_0072, -8.73, 0.0
Z8539, -8.19, 0.0
Z8515, -6.80, 0.0
Z8507, -5.24, 0.0

# Calculated block from SepTop free energy calculations
# Ligand1,Ligand2, calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
Z8507,Z8539, -4.23, 0.35, 0.0
Z8515,Z8539_2001, -3.58, 0.73, 0.0
#Z8539_0072,ZINC922, 50.59, 0.79, 0.0
Z8539_0072,ZINC922, 4.77, 0.78, 0.0
Z8539_2001,Z8539_2004, 1.85, 0.31, 0.0
Z8539_2004,Z8539_2006, -2.23, 0.34, 0.0
Z8539_2005,Z8507, 1.2, 0.59, 0.0
Z8539_2006,Z8539_2005, 2.4 , 0.37, 0.0
Z8539,Z8539_0072, -0.53, 0.26, 0.0
Z9604,Z8507, 0.03, 0.54, 0.0
Z9604,Z8515, -0.95, 0.55, 0.0
Z9604,Z8539, -3.97, 0.36, 0.0
Z9604,Z8539_0072, -4.1, 0.22, 0.0
Z9604,Z8539_2001, -3.56, 0.21, 0.0
Z9604,Z8539_2004, -0.23, 0.45, 0.0
Z9604,Z8539_2005, -0.57, 0.39, 0.0
Z9604,Z8539_2006, -3.74, 0.52, 0.0
Z9604,ZINC922, -4.83, 2.66, 0.0
Z9604,ZINC337835, 1.99, 0.57, 0.0
ZINC922,ZINC337835, 0.07, 0.94, 0.0
ZINC337835,Z8515, -2.28, 1.24, 0.0

