labelA,labelB,DDG (kcal/mol),uncertainty (kcal/mol),source,computational
Z8507,Z8539,-4.23,0.35,,True
Z8539,Z8539_0072,-0.53,0.26,,True
Z8515,Z8539_2001,-3.58,0.73,,True
Z8539_2001,Z8539_2004,1.85,0.31,,True
Z8539_2004,Z8539_2006,-2.23,0.34,,True
Z8539_2006,Z8539_2005,2.4,0.37,,True
Z8539_2005,Z8507,1.2,0.59,,True
Z9604,Z8507,0.03,0.54,,True
Z9604,Z8515,-0.95,0.55,,True
Z9604,Z8539,-3.97,0.36,,True
Z9604,Z8539_0072,-4.1,0.22,,True
Z9604,Z8539_2001,-3.56,0.21,,True
Z9604,Z8539_2004,-0.23,0.45,,True
Z9604,Z8539_2005,-0.57,0.39,,True
Z9604,Z8539_2006,-3.74,0.52,,True
